system_id,word,ner
1,例年月,DATE
1,台北市,GPE
1,開封街,LOC
1,開封街高雄銀行,FAC
1,日式,GPE
1,日式,NORP
1,印度,NORP
1,牛肉,WORK_OF_ART
2,元旦,DATE
2,晚上,TIME
2,今天,DATE
2,沙朗,PERSON
2,三分鐘,TIME
2,五,CARDINAL
2,五,CARDINAL
3,台北市,GPE
3,週日,DATE
3,羽諾,PERSON
3,捷運六張犁站,FAC
3,芳和國中和平高中大安國小,ORG
3,中午,TIME
3,羽諾,PERSON
3,下午,TIME
3,兩,CARDINAL
3,台語,LANGUAGE
3,兩,CARDINAL
3,慧,PERSON
3,王品,ORG
3,月底,DATE
3,中午,TIME
3,羽諾,PERSON
3,羽諾,PERSON
3,羽諾,PERSON
4,運河城,LOC
4,中文,LANGUAGE
4,博多運河,LOC
4,二,CARDINAL
4,晚上七點,TIME
4,八成,CARDINAL
4,三,CARDINAL
4,六,CARDINAL
4,兩,CARDINAL
4,兩,CARDINAL
4,兩,CARDINAL
4,牛舌,WORK_OF_ART
4,台灣人,NORP
4,中文,LANGUAGE
4,福岡県,GPE
4,福岡市,GPE
5,長榮,ORG
5,兩個小時,TIME
5,年月,DATE
5,聖誕節,DATE
5,西雅圖,GPE
5,美國,GPE
5,台,GPE
5,東京,GPE
5,台灣,GPE
5,三,CARDINAL
5,四,CARDINAL
5,第次,ORDINAL
5,第次,ORDINAL
5,美國,GPE
5,香檳,ORG
5,長榮,ORG
5,第次,ORDINAL
5,第二,ORDINAL
5,日式,NORP
5,香檳,ORG
5,兩,CARDINAL
5,中式,GPE
5,中式,NORP
5,日本,GPE
5,台灣,GPE
5,彰化,GPE
5,台灣,GPE
5,台灣,GPE
5,今晚,TIME
6,宏壽司,PERSON
6,日本料理,PERSON
6,新北市樹林區,GPE
6,宏壽司,PERSON
6,新北市,GPE
6,樹林,GPE
6,板橋區,GPE
6,日本料理店,FAC
6,樹林保安路,LOC
6,篤行路,FAC
6,樹林車站,FAC
6,宏壽司,PERSON
6,宏壽司,ORG
6,宏壽司,ORG
6,兩,CARDINAL
6,宏師傅,PERSON
6,樹林火車站,FAC
6,宏壽司,PERSON
6,宏壽司,ORG
6,宏師傅,PERSON
6,宏壽司,PERSON
6,宏壽司,PERSON
6,三,CARDINAL
6,四百,CARDINAL
6,這天,DATE
6,宏,PERSON
6,宏壽司,PERSON
6,宏壽司,PERSON
6,台南,GPE
6,宏壽司,PERSON
6,台南人,NORP
6,宏壽司,ORG
6,宏壽司,ORG
6,宏師傅,PERSON
6,宏壽司,ORG
6,樹林板橋,LOC
6,宏壽司,PERSON
6,兩,CARDINAL
6,宏壽司,PERSON
6,兩,CARDINAL
6,三,CARDINAL
6,宏壽司,PERSON
6,台北,GPE
6,台北,GPE
6,宏壽司,ORG
6,北醫,ORG
6,日本料理店,FAC
6,宏壽司,ORG
6,宏師傅,PERSON
6,台中,GPE
6,台北,GPE
6,宏壽司,PERSON
6,美,NORP
7,東海店,ORG
7,台中市,GPE
7,西屯區,GPE
7,家樂福西屯店美食街,FAC
7,上午晚上,TIME
